supersmartwatch; 03 November 2022 12:11:34; 1; 1;
supersmartwatch; 03 November 2022 12:15:04; 1; 12;
supersmartwatch; 03 November 2022 18:31:05; 1; 100;
supersmartwatch; 03 November 2022 21:11:05; 1; 10;
supersmartwatch; 03 November 2022 21:11:14; 1; 10;
supersmartwatch; 03 November 2022 21:34:30; 1; 10;
supersmartwatch; 03 November 2022 21:36:20; 1; 10;
supersmartwatch; 03 November 2022 21:37:36; 1; 10;
supersmartwatch; 05 November 2022 09:02:31; 1; 100;
a; 05 November 2022 09:17:02; 1; 1;
a; 05 November 2022 09:19:16; 1; 100;
a; 05 November 2022 09:21:56; 1; 3;
a; 05 November 2022 09:26:31; 1; 3;
a; 05 November 2022 09:26:45; 1; 100;
a; 05 November 2022 09:28:57; 1; 23;
a; 05 November 2022 09:31:24; 2; 12;
a; 05 November 2022 09:33:17; 1; 23;
a; 05 November 2022 09:33:19; 2; 10;
a; 05 November 2022 09:33:21; 3; 45;
a; 05 November 2022 17:44:59; 1; 100;
a; 10 November 2022 21:07:23; 1; 1;
a; 10 November 2022 21:20:21; 1; 1;
a; 10 November 2022 21:21:53; 1; 100;
a; 10 November 2022 23:56:57; 1; 100;
